2025-03-13 09:33:08.782 +05:30 [WRN] Overriding address(es) 'http://*:7001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2025-03-13 09:33:17.689 +05:30 [WRN] Failed to determine the https port for redirect.
2025-03-13 10:40:55.689 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.4584 ms
2025-03-13 10:41:01.373 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 24.4320 ms
2025-03-13 10:41:05.705 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/8 responded 200 in 342.2371 ms
2025-03-13 10:41:23.991 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 58.8738 ms
2025-03-13 10:41:25.440 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 37.0082 ms
2025-03-13 10:41:30.764 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/9 responded 200 in 12.3393 ms
2025-03-13 10:44:30.763 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 100.8715 ms
2025-03-13 10:44:32.211 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 18.9259 ms
2025-03-13 10:44:35.155 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/10 responded 200 in 31.1455 ms
2025-03-13 10:44:35.181 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 7.3889 ms
2025-03-13 10:44:43.982 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/11 responded 200 in 9.4906 ms
2025-03-13 10:44:44.006 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 8.5824 ms
2025-03-13 10:44:46.520 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 9.6172 ms
2025-03-13 10:45:43.329 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 181.9083 ms
2025-03-13 10:45:44.672 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 8.8886 ms
2025-03-13 10:45:52.686 +05:30 [INF] HTTP DELETE /api/Employee/deleteEmp/8 responded 200 in 9.4411 ms
2025-03-13 10:45:52.718 +05:30 [INF] HTTP GET /api/Employee/getEmployee/2 responded 200 in 9.2341 ms
2025-03-13 10:46:12.675 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 12.4862 ms
2025-03-13 10:46:14.115 +05:30 [INF] HTTP GET /api/Data/getAllDept responded 200 in 31.6615 ms
2025-03-13 10:46:14.115 +05:30 [INF] HTTP GET /api/Data/getAllManager responded 200 in 32.2175 ms
2025-03-13 10:46:14.134 +05:30 [INF] HTTP GET /api/Data/getAllRole responded 200 in 40.1023 ms
2025-03-13 11:11:50.360 +05:30 [WRN] Overriding address(es) 'http://*:7001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2025-03-13 11:12:01.656 +05:30 [WRN] Failed to determine the https port for redirect.
2025-03-13 11:12:04.217 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 2551.5130 ms
2025-03-13 11:13:15.424 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 55.0674 ms
2025-03-13 11:27:43.155 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 145.2472 ms
2025-03-13 11:27:51.737 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 12.5526 ms
2025-03-13 11:27:54.987 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.5606 ms
2025-03-13 11:32:08.263 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 31.5710 ms
2025-03-13 11:34:02.609 +05:30 [INF] HTTP POST /api/auth/Login responded 200 in 351.9775 ms
2025-03-13 11:34:15.923 +05:30 [INF] HTTP GET /api/Data/getAllCriteria responded 200 in 15.0790 ms
2025-03-13 11:35:54.652 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 19.9240 ms
2025-03-13 11:36:23.094 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 17.5517 ms
2025-03-13 11:36:28.922 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 8.0169 ms
2025-03-13 11:36:52.922 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 83.9287 ms
2025-03-13 11:37:00.888 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 11.4459 ms
2025-03-13 11:37:18.452 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 7.9438 ms
2025-03-13 11:37:24.928 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 9.6396 ms
2025-03-13 11:37:30.026 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 8.0244 ms
2025-03-13 11:37:52.332 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.7673 ms
2025-03-13 11:37:58.247 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 23.8995 ms
